"IP","Submission ID","Submission Date","Location","Age","Gender","Job Type","Income","Marital Status","How do you plan your Trip","How frequently do you travel for leisure or tourism purposes in a year?","What types of destinations do you prefer for your leisure travels?","What is the average duration of your typical leisure trip?","How do you prefer traveling?","What type of accommodation do you usually prefer during your travels?","What are your next travel destination?"
"93.212.98.183","5753628153818365290","2023-11-09 19:13:35","Germany","25-34","Male","Full-time","25,001 - $50,000","Single","By Yourself","Twice a year","Urban Cities","A few days","with Friends","Airbnb","France"
"95.88.61.10","5752416560116746280","2023-11-08 09:34:16","Germany","18-24","Female","Student","Under $25,000","Single","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","with Friends","Airbnb","Turkey"
"91.64.38.180","5752037450819179770","2023-11-07 23:02:26","Spain","35-44","Male","Full-time","25,001 - $50,000","Single","By Yourself","Several times per year","Urban Cities","A few days","with Friends","Airbnb","Turkey"
"92.72.33.65","5751947695631558280","2023-11-07 20:32:49","Albania","25-34","Male","Part-time","Under $25,000","Married","By Yourself","Once a year","Urban Cities","A few days","With Family","others","Albania"
"158.181.69.242","5751909142423042457","2023-11-07 19:28:34","Germany","45 - 54","Female","Part-time","Under $25,000","Widowed","By Yourself","More than once a month","Urban Cities","A few days","with Friends","others","Montenegro"
"78.55.44.57","5751078047542416503","2023-11-06 20:23:24","Germany","Less than 18","Male","Student","Under $25,000","Single","By Yourself","Twice a year","Beach/Coastal Resorts","2 Weeks","with Friends","Hotels","Morocco"
"91.65.28.105","5750767085018815158","2023-11-06 11:45:08","Germany","55 - 64","Female","Part-time","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","A few days","With Family","Airbnb","Spain"
"88.215.91.219","5750738229125397484","2023-11-06 10:57:02","Germany","35-44","Female","Student","Under $25,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","2 Weeks","With Family","Airbnb",""
"213.58.220.126","5750724246217988659","2023-11-06 10:33:44","United States","25-34","Female","Unemployed","","Single","By Yourself","Several times per year","Urban Cities","A few days","with Friends","Airbnb","United States"
"89.14.80.69","5750250819608820277","2023-11-05 21:24:41","Germany","35-44","Male","Full-time","25,001 - $50,000","Single","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","With Family","others","Senegal"
"91.65.25.99","5750223469956624915","2023-11-05 20:39:06","Germany","45 - 54","Female","Part-time","25,001 - $50,000","Married","By Yourself","Several times per year","Mountain Resorts","2 Weeks","With Family","Airbnb","Austria"
"78.54.139.73","5750219453791837014","2023-11-05 20:32:25","Germany","65 - 74","Male","Full-time","50,001 - $75,000","Single","Through a Travel Agent","Twice a year","Beach/Coastal Resorts","1 Week","with Friends","Hotels","Spain"
"78.54.139.73","5750218163793017796","2023-11-05 20:30:16","Germany","55 - 64","Female","Full-time","50,001 - $75,000","Married","Through a Travel Agent","Once a year","Beach/Coastal Resorts","1 Week","With Family","Hotels","Spain"
"91.65.28.105","5750216915018686993","2023-11-05 20:28:11","Germany","55 - 64","Female","Part-time","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","A few days","With Family","Airbnb","Spain"
"2.153.180.117","5750189447116833920","2023-11-05 19:42:24","Spain","35-44","Female","Unemployed","","Single","By Yourself","Twice a year","Beach/Coastal Resorts","A few days","with Friends","Hotels","Italy"
"89.247.162.99","5750073219926133049","2023-11-05 16:28:41","Germany","35-44","Female","Part-time","Under $25,000","Single","By Yourself","Twice a year","Mountain Resorts","1 Week","Solo","Airbnb","Croatia"
"95.90.245.101","5750051531017512897","2023-11-05 15:52:33","Germany","35-44","Female","Full-time","75,001 - $100,000","Married","By Yourself","Several times per year","Urban Cities","A few days","With Family","Hotels","Portugal"
"105.37.140.159","5750046879513543635","2023-11-05 15:44:47","Egypt","45 - 54","Female","Unemployed","Under $25,000","Divorced","Through a Travel Agent","Several times per year","Beach/Coastal Resorts","1 Week","with Friends","Hotels","Indonesia"
"77.191.119.232","5750028882325085778","2023-11-05 15:14:48","Germany","35-44","Female","Full-time","25,001 - $50,000","Single","By Yourself","Twice a year","Beach/Coastal Resorts","2 Weeks","With Family","Airbnb","Spain"
"109.42.242.194","5749970894919813502","2023-11-05 13:38:09","Germany","35-44","Male","Full-time","25,001 - $50,000","Single","By Yourself","Twice a year","Historic Sites/Museums","1 Week","with Friends","Hotels","Egypt"
"109.40.242.93","5749288383929410790","2023-11-04 18:40:39","Germany","35-44","Female","Unemployed","100,001 - $150,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","2 Weeks","With Family","others","Italy"
"79.237.54.36","5749220436349548769","2023-11-04 16:47:23","Germany","25-34","Female","Part-time","25,001 - $50,000","Single","By Yourself","Several times per year","Mountain Resorts","1 Week","with Friends","Airbnb","Spain"
"46.114.232.95","5749093045926759618","2023-11-04 13:15:04","","25-34","Female","Student","Under $25,000","Single","By Yourself","Several times per year","","A few days","With Family","Hotels","Italy"
"87.49.146.251","5749088611521532039","2023-11-04 13:07:41","Denmark","35-44","Female","Unemployed","Under $25,000","Single","By Yourself","Twice a year","Beach/Coastal Resorts","A few days","With Family","Hotels","Faroe Islands"
"185.199.104.14","5749087154143888609","2023-11-04 13:05:15","","35-44","Male","Unemployed","Under $25,000","Single","By Yourself","Once a year","Urban Cities","1 Week","Solo","others","Portugal"
"82.147.251.52","5748657572518022644","2023-11-04 01:09:17","Denmark","25-34","Female","Unemployed","Under $25,000","Married","By Yourself","Twice a year","Mountain Resorts","2 Weeks","With Family","Airbnb","Norway"
"92.60.214.141","5748604921419950950","2023-11-03 23:41:32","Germany","35-44","Female","Unemployed","Under $25,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","2 Weeks","With Family","Resorts","Spain"
"89.246.169.42","5748592732498780244","2023-11-03 23:21:13","Germany","25-34","Female","Unemployed","Under $25,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","With Family","Resorts","Egypt"
"104.28.103.24","5748513394234930223","2023-11-03 21:08:59","United States","25-34","Female","Unemployed","Under $25,000","Single","By Yourself","Twice a year","Urban Cities","1 Week","with Friends","Hotels","Germany"
"77.25.37.13","5748184143177017974","2023-11-03 12:00:14","Germany","35-44","Female","Student","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","1 Week","With Family","Resorts","Thailand"
"79.83.84.158","5748061648519108769","2023-11-03 08:36:04","Germany","35-44","Male","Full-time","25,001 - $50,000","Married","By Yourself","Once a year","Urban Cities","1 Week","With Family","Hotels","United States"
"144.64.204.124","5747712484212714909","2023-11-02 22:54:09","Portugal","25-34","Male","Unemployed","Under $25,000","Single","By Yourself","Once a year","Urban Cities","A few days","Solo","Airbnb","Italy"
"186.249.155.91","5747670601959953921","2023-11-02 21:44:21","Brazil","35-44","Other","Part-time","Under $25,000","Single","By Yourself","Several times per year","Urban Cities","2 Weeks","with Friends","others","Brazil"
"213.124.169.146","5747578386415879585","2023-11-02 19:10:38","Netherlands","25-34","Male","Full-time","75,001 - $100,000","Single","By Yourself","Several times per year","Urban Cities","Longer than 3 Weeks","Solo","Hotels","Philippines"
"86.94.79.240","5747570410427542191","2023-11-02 18:57:21","Netherlands","25-34","Female","Full-time","50,001 - $75,000","Divorced","By Yourself","Several times per year","Urban Cities","1 Week","With Family","Hotels","Spain"
"84.174.17.48","5747557218474957500","2023-11-02 18:35:21","","35-44","Female","Full-time","50,001 - $75,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","With Family","Airbnb","Thailand"
"31.151.5.136","5747552096314695982","2023-11-02 18:26:50","Netherlands","35-44","Female","Unemployed","Under $25,000","Married","By Yourself","Once a year","Urban Cities","A few days","With Family","Hotels","Germany"
"89.205.132.248","5747377928425116991","2023-11-02 13:36:32","Netherlands","25-34","Female","Part-time","Under $25,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","With Family","Hotels","Germany"
"188.77.8.115","5747302425117566870","2023-11-02 11:30:42","Spain","25-34","Female","Student","Under $25,000","Single","By Yourself","Several times per year","Urban Cities","A few days","with Friends","Airbnb","Uruguay"
"89.12.68.224","5747282724221076769","2023-11-02 10:57:52","","","","","","","","","","","","",""
"95.90.221.190","5747275270914475155","2023-11-02 10:45:27","Germany","25-34","Female","Unemployed","Under $25,000","Single","By Yourself","Several times per year","Historic Sites/Museums","A few days","With Family","Hotels","Spain"
"86.98.73.226","5747089896225660749","2023-11-02 05:36:29","United Arab Emirates","35-44","Male","Full-time","25,001 - $50,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","A few days","with Friends","Airbnb","Germany"
"82.217.40.67","5746968367602837988","2023-11-02 02:13:56","Netherlands","35-44","Female","Unemployed","Under $25,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","In Groups","Hotels","Panama"
"89.247.166.89","5746857609868634900","2023-11-01 23:09:20","Germany","25-34","Female","Unemployed","Under $25,000","Single","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","Solo","Airbnb",""
"45.128.199.18","5746835228197108246","2023-11-01 22:32:08","Netherlands","25-34","Female","Unemployed","75,001 - $100,000","Married","By Yourself","Once a year","Urban Cities","1 Week","with Friends","Hotels","France"
"92.206.248.215","5746811835128935623","2023-11-01 21:53:03","Germany","35-44","Male","Unemployed","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","1 Week","with Friends","Airbnb",""
"87.133.77.200","5746602220021410269","2023-11-01 16:03:42","Germany","25-34","Female","Unemployed","Under $25,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","With Family","Hotels","Indonesia"
"93.161.23.22","5746552092231372378","2023-11-01 14:40:09","Denmark","45 - 54","Female","Full-time","50,001 - $75,000","Married","By Yourself","Once a year","Mountain Resorts","2 Weeks","With Family","Hotels","Canada"
"109.40.241.240","5746536920425662314","2023-11-01 14:14:53","Germany","25-34","Female","Unemployed","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","2 Weeks","With Family","Hotels","Egypt"
"109.40.242.67","5746504077622075112","2023-11-01 13:20:07","Germany","45 - 54","Female","Full-time","25,001 - $50,000","Divorced","By Yourself","Several times per year","","1 Week","Solo","Hotels",""
"78.31.198.151","5746477521519120613","2023-11-01 12:35:52","Germany","25-34","Female","Unemployed","","Married","By Yourself","Twice a year","Beach/Coastal Resorts","A few days","With Family","Hotels","France"
"213.225.240.61","5746451961606562862","2023-11-01 11:53:17","Italy","25-34","Female","Student","Under $25,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","A few days","With Family","Hotels","Romania"
"2.202.202.67","5746451177621369370","2023-11-01 11:51:57","Germany","25-34","Female","Student","Under $25,000","Married","By Yourself","Twice a year","Urban Cities","A few days","With Family","Hotels","Nigeria"
"79.202.110.149","5746439999414466706","2023-11-01 11:33:19","Germany","25-34","Male","Unemployed","50,001 - $75,000","Single","By Yourself","Once a year","Urban Cities","2 Weeks","with Friends","Airbnb","Portugal"
"31.16.211.174","5746363904714058317","2023-11-01 09:26:30","Germany","25-34","Female","Full-time","25,001 - $50,000","Married","By Yourself","Twice a year","Urban Cities","1 Week","With Family","Hotels","Czech Republic"
"84.159.15.207","5746323107027018351","2023-11-01 08:18:30","Germany","35-44","Female","Unemployed","","Married","By Yourself","Once a year","Beach/Coastal Resorts","1 Week","With Family","Airbnb",""
"89.163.216.65","5746165635661085447","2023-11-01 03:56:03","","","","","","","","","","","","",""
"89.247.162.150","5745994240518952315","2023-10-31 23:10:24","Germany","35-44","Male","Full-time","50,001 - $75,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","A few days","With Family","Hotels","Spain"
"89.247.162.150","5745992080519422377","2023-10-31 23:06:48","Germany","25-34","Female","Unemployed","Under $25,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","With Family","Hotels","Spain"
"148.69.8.25","5745986875281160037","2023-10-31 22:58:07","Portugal","25-34","Male","Full-time","25,001 - $50,000","Married","By Yourself","Twice a year","Urban Cities","1 Week","With Family","Airbnb","Spain"
"89.12.131.28","5745960078218287594","2023-10-31 22:13:27","Germany","35-44","Female","Unemployed","Under $25,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","Solo","Airbnb","Morocco"
"89.12.131.28","5745943798212252484","2023-10-31 21:46:19","Germany","35-44","Male","Full-time","75,001 - $100,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","A few days","With Family","Airbnb","Peru"
"37.67.103.230","5745934980325894064","2023-10-31 21:31:38","","35-44","Female","Student","25,001 - $50,000","Married","By Yourself","Twice a year","Beach/Coastal Resorts","1 Week","Solo","Airbnb","Morocco"
"95.91.210.252","5745934852527648838","2023-10-31 21:31:25","Germany","35-44","Female","Student","Under $25,000","Single","By Yourself","Once a year","Mountain Resorts","1 Week","with Friends","others","Switzerland"
"77.11.94.54","5745927764546160701","2023-10-31 21:19:36","Germany","35-44","Female","Unemployed","Under $25,000","Single","By Yourself","Several times per year","Beach/Coastal Resorts","A few days","with Friends","Airbnb","Brazil"
